contract,bug_type,line
buggy_10.sol,Overflow-Underflow,29
buggy_22.sol,Timestamp-Dependency,238
buggy_27.sol,Unhandled-Exceptions,257
buggy_3.sol,Unchecked-Send,115
buggy_2.sol,Re-entrancy,133
buggy_18.sol,Unchecked-Send,349
buggy_37.sol,Unhandled-Exceptions,173
buggy_47.sol,Timestamp-Dependency,253
buggy_50.sol,TOD,111
buggy_19.sol,TOD,259
buggy_33.sol,Unchecked-Send,72
buggy_20.sol,Timestamp-Dependency,77
buggy_48.sol,Unhandled-Exceptions,188
buggy_43.sol,tx.origin,196
buggy_8.sol,tx.origin,229
buggy_6.sol,Timestamp-Dependency,193
buggy_41.sol,tx.origin,126
buggy_1.sol,Re-entrancy,213
buggy_30.sol,Re-entrancy,780
buggy_30.sol,Overflow-Underflow,855
buggy_4.sol,Unchecked-Send,39
buggy_18.sol,Re-entrancy,71
buggy_11.sol,Unhandled-Exceptions,160
buggy_16.sol,TOD,380
buggy_28.sol,Re-entrancy,63
buggy_24.sol,Re-entrancy,550
buggy_47.sol,Unhandled-Exceptions,92
buggy_30.sol,TOD,851
buggy_44.sol,tx.origin,310
buggy_9.sol,Re-entrancy,55
buggy_24.sol,Timestamp-Dependency,401
buggy_20.sol,Timestamp-Dependency,176
buggy_48.sol,Unhandled-Exceptions,65
buggy_33.sol,Timestamp-Dependency,94
buggy_8.sol,tx.origin,322
buggy_37.sol,Overflow-Underflow,313
buggy_8.sol,Unhandled-Exceptions,104
buggy_22.sol,Overflow-Underflow,140
buggy_34.sol,Overflow-Underflow,24
buggy_19.sol,Timestamp-Dependency,308
buggy_27.sol,Unhandled-Exceptions,251
buggy_37.sol,Timestamp-Dependency,221
buggy_20.sol,Unchecked-Send,199
buggy_47.sol,Unhandled-Exceptions,177
buggy_24.sol,tx.origin,273
buggy_11.sol,Unhandled-Exceptions,319
buggy_28.sol,TOD,468
buggy_19.sol,Unhandled-Exceptions,225
buggy_34.sol,Overflow-Underflow,518
buggy_20.sol,Re-entrancy,269
buggy_34.sol,Unchecked-Send,301
buggy_22.sol,TOD,484
buggy_19.sol,tx.origin,58
buggy_38.sol,Re-entrancy,137
buggy_21.sol,Unhandled-Exceptions,224
buggy_37.sol,tx.origin,303
buggy_43.sol,Re-entrancy,50
buggy_11.sol,Timestamp-Dependency,125
buggy_32.sol,Unchecked-Send,149
buggy_47.sol,Unhandled-Exceptions,266
buggy_47.sol,TOD,769
buggy_8.sol,TOD,23
buggy_40.sol,tx.origin,251
buggy_15.sol,Overflow-Underflow,143
buggy_32.sol,tx.origin,53
buggy_19.sol,Unhandled-Exceptions,142
buggy_7.sol,Re-entrancy,95
buggy_24.sol,Unchecked-Send,540
buggy_27.sol,TOD,159
buggy_22.sol,tx.origin,241
buggy_24.sol,Overflow-Underflow,982
buggy_28.sol,Timestamp-Dependency,105
buggy_3.sol,tx.origin,29
buggy_19.sol,Re-entrancy,437
buggy_35.sol,Timestamp-Dependency,350
buggy_44.sol,TOD,350
buggy_12.sol,Unhandled-Exceptions,98
buggy_24.sol,Re-entrancy,279
buggy_37.sol,TOD,649
buggy_20.sol,Unhandled-Exceptions,240
buggy_26.sol,Timestamp-Dependency,88
buggy_20.sol,TOD,453
buggy_16.sol,TOD,531
buggy_8.sol,Overflow-Underflow,217
buggy_43.sol,tx.origin,106
buggy_7.sol,Unhandled-Exceptions,76
buggy_30.sol,Overflow-Underflow,707
buggy_43.sol,Timestamp-Dependency,275
buggy_30.sol,tx.origin,862
buggy_38.sol,Unhandled-Exceptions,281
buggy_27.sol,Unchecked-Send,129
buggy_8.sol,Unhandled-Exceptions,181
buggy_40.sol,Unchecked-Send,301
buggy_4.sol,Unchecked-Send,145
buggy_18.sol,Unhandled-Exceptions,340
buggy_7.sol,TOD,541
buggy_9.sol,Re-entrancy,137
buggy_48.sol,Unchecked-Send,51
buggy_28.sol,Timestamp-Dependency,163
buggy_33.sol,Timestamp-Dependency,236
buggy_26.sol,Overflow-Underflow,182
buggy_18.sol,Timestamp-Dependency,203
buggy_31.sol,Overflow-Underflow,261
buggy_49.sol,Overflow-Underflow,66
buggy_38.sol,Re-entrancy,124
buggy_21.sol,Unhandled-Exceptions,21
buggy_39.sol,Unhandled-Exceptions,8
buggy_2.sol,Unhandled-Exceptions,8
buggy_12.sol,TOD,265
buggy_7.sol,Re-entrancy,392
buggy_28.sol,Re-entrancy,54
buggy_23.sol,Timestamp-Dependency,371
buggy_21.sol,TOD,62
buggy_48.sol,Unchecked-Send,168
buggy_22.sol,Unhandled-Exceptions,253
buggy_9.sol,tx.origin,205
buggy_25.sol,Re-entrancy,201
buggy_7.sol,Unhandled-Exceptions,130
buggy_30.sol,Re-entrancy,338
buggy_3.sol,Re-entrancy,196
buggy_10.sol,Unchecked-Send,51
buggy_21.sol,Unhandled-Exceptions,142
buggy_34.sol,Overflow-Underflow,15
buggy_9.sol,Unchecked-Send,101
buggy_19.sol,Overflow-Underflow,386
buggy_1.sol,TOD,361
buggy_21.sol,Re-entrancy,551
buggy_42.sol,Overflow-Underflow,29
buggy_10.sol,Unhandled-Exceptions,47
buggy_43.sol,Overflow-Underflow,112
buggy_19.sol,tx.origin,193
buggy_1.sol,Unchecked-Send,80
buggy_38.sol,Overflow-Underflow,190
buggy_21.sol,Overflow-Underflow,229
buggy_16.sol,Re-entrancy,523
buggy_12.sol,Unhandled-Exceptions,240
buggy_8.sol,TOD,526
buggy_17.sol,Re-entrancy,410
buggy_44.sol,Overflow-Underflow,142
buggy_44.sol,Timestamp-Dependency,422
buggy_35.sol,TOD,422
buggy_3.sol,Overflow-Underflow,183
buggy_14.sol,Unhandled-Exceptions,78
buggy_38.sol,TOD,609
buggy_40.sol,Overflow-Underflow,460
buggy_43.sol,Overflow-Underflow,213
buggy_36.sol,Unchecked-Send,68
buggy_42.sol,Timestamp-Dependency,189
buggy_38.sol,Unchecked-Send,132
buggy_11.sol,TOD,415
buggy_23.sol,Unhandled-Exceptions,313
buggy_44.sol,Unhandled-Exceptions,54
buggy_12.sol,Unchecked-Send,338
buggy_27.sol,Timestamp-Dependency,437
buggy_30.sol,TOD,397
buggy_24.sol,Unchecked-Send,434
buggy_45.sol,Timestamp-Dependency,9
buggy_46.sol,tx.origin,126
buggy_23.sol,Timestamp-Dependency,156
buggy_7.sol,Re-entrancy,251
buggy_23.sol,tx.origin,144
buggy_42.sol,TOD,499
buggy_13.sol,Overflow-Underflow,182
buggy_18.sol,Overflow-Underflow,196
buggy_28.sol,Unhandled-Exceptions,121
buggy_15.sol,TOD,154
buggy_19.sol,TOD,154
buggy_14.sol,Unchecked-Send,231
buggy_38.sol,Unchecked-Send,97
buggy_17.sol,Overflow-Underflow,140
buggy_41.sol,Re-entrancy,264
buggy_47.sol,TOD,450
buggy_5.sol,tx.origin,63
buggy_36.sol,Re-entrancy,243
buggy_16.sol,Unhandled-Exceptions,149
buggy_16.sol,tx.origin,282
buggy_24.sol,Unhandled-Exceptions,825
buggy_50.sol,Timestamp-Dependency,114
buggy_21.sol,TOD,458
buggy_20.sol,Unchecked-Send,43
buggy_5.sol,TOD,714
buggy_34.sol,Unhandled-Exceptions,156
buggy_11.sol,tx.origin,54
buggy_25.sol,Unhandled-Exceptions,87
buggy_33.sol,Unchecked-Send,102
buggy_16.sol,Re-entrancy,468
buggy_47.sol,Overflow-Underflow,435
buggy_48.sol,Unhandled-Exceptions,202
buggy_27.sol,TOD,606
buggy_22.sol,TOD,192
buggy_50.sol,Re-entrancy,30
buggy_12.sol,Unhandled-Exceptions,289
buggy_21.sol,Re-entrancy,268
buggy_17.sol,Overflow-Underflow,107
buggy_26.sol,Overflow-Underflow,191
buggy_22.sol,Re-entrancy,402
buggy_29.sol,Overflow-Underflow,272
buggy_38.sol,Timestamp-Dependency,118
buggy_37.sol,tx.origin,67
buggy_30.sol,TOD,837
buggy_4.sol,Unhandled-Exceptions,197
buggy_4.sol,TOD,154
buggy_9.sol,TOD,175
buggy_23.sol,TOD,176
buggy_21.sol,Re-entrancy,183
buggy_41.sol,Re-entrancy,64
buggy_36.sol,tx.origin,17
buggy_12.sol,Overflow-Underflow,408
buggy_13.sol,Re-entrancy,82
buggy_45.sol,Unchecked-Send,135
buggy_29.sol,Overflow-Underflow,179
buggy_15.sol,Re-entrancy,51
buggy_19.sol,Timestamp-Dependency,262
buggy_24.sol,tx.origin,263
buggy_23.sol,Timestamp-Dependency,431
buggy_21.sol,TOD,146
buggy_45.sol,Overflow-Underflow,317
buggy_15.sol,Unhandled-Exceptions,252
buggy_43.sol,Unchecked-Send,34
buggy_12.sol,Re-entrancy,486
buggy_40.sol,Timestamp-Dependency,522
buggy_42.sol,Timestamp-Dependency,79
buggy_8.sol,Overflow-Underflow,437
buggy_11.sol,TOD,521
buggy_48.sol,Re-entrancy,354
buggy_30.sol,Unchecked-Send,770
buggy_47.sol,TOD,751
buggy_45.sol,Timestamp-Dependency,187
buggy_9.sol,Overflow-Underflow,219
buggy_48.sol,Overflow-Underflow,173
buggy_5.sol,TOD,511
buggy_48.sol,TOD,229
buggy_15.sol,Unchecked-Send,65
buggy_24.sol,Re-entrancy,261
buggy_38.sol,Timestamp-Dependency,293
buggy_17.sol,Timestamp-Dependency,91
buggy_44.sol,Unhandled-Exceptions,63
buggy_49.sol,Unhandled-Exceptions,44
buggy_25.sol,TOD,137
buggy_20.sol,tx.origin,313
buggy_8.sol,TOD,100
buggy_17.sol,Unchecked-Send,78
buggy_29.sol,tx.origin,17
buggy_29.sol,Unhandled-Exceptions,274
buggy_7.sol,Overflow-Underflow,89
buggy_18.sol,TOD,184
buggy_7.sol,Re-entrancy,236
buggy_35.sol,Re-entrancy,229
buggy_30.sol,TOD,950
buggy_13.sol,Timestamp-Dependency,153
buggy_25.sol,Unchecked-Send,216
buggy_50.sol,Unchecked-Send,138
buggy_40.sol,Unhandled-Exceptions,594
buggy_19.sol,TOD,131
buggy_42.sol,Re-entrancy,197
buggy_38.sol,Unchecked-Send,104
buggy_24.sol,TOD,873
buggy_27.sol,Timestamp-Dependency,89
buggy_18.sol,Unhandled-Exceptions,326
buggy_2.sol,Unchecked-Send,33
buggy_44.sol,Overflow-Underflow,463
buggy_16.sol,TOD,252
buggy_24.sol,tx.origin,490
buggy_35.sol,Overflow-Underflow,414
buggy_15.sol,TOD,254
buggy_50.sol,Unhandled-Exceptions,214
buggy_24.sol,TOD,1280
buggy_16.sol,Timestamp-Dependency,189
buggy_12.sol,Re-entrancy,211
buggy_6.sol,Timestamp-Dependency,228
buggy_23.sol,Unhandled-Exceptions,120
buggy_26.sol,Overflow-Underflow,132
buggy_33.sol,tx.origin,207
buggy_31.sol,Re-entrancy,331
buggy_16.sol,Unhandled-Exceptions,73
buggy_26.sol,Re-entrancy,193
buggy_12.sol,TOD,279
buggy_16.sol,TOD,345
buggy_11.sol,tx.origin,146
buggy_18.sol,Unchecked-Send,299
buggy_37.sol,Unhandled-Exceptions,99
buggy_48.sol,Unchecked-Send,94
buggy_23.sol,Unchecked-Send,382
buggy_27.sol,Overflow-Underflow,244
buggy_7.sol,Unhandled-Exceptions,244
buggy_16.sol,Timestamp-Dependency,288
buggy_31.sol,Unhandled-Exceptions,292
buggy_16.sol,Re-entrancy,126
buggy_2.sol,TOD,176
buggy_23.sol,Unhandled-Exceptions,485
buggy_26.sol,Overflow-Underflow,281
buggy_5.sol,Unhandled-Exceptions,99
buggy_48.sol,Re-entrancy,244
buggy_20.sol,Re-entrancy,228
buggy_12.sol,Unchecked-Send,118
buggy_24.sol,Re-entrancy,752
buggy_47.sol,Unhandled-Exceptions,138
buggy_40.sol,TOD,818
buggy_33.sol,Overflow-Underflow,8
buggy_6.sol,tx.origin,37
buggy_25.sol,Timestamp-Dependency,78
buggy_24.sol,Overflow-Underflow,596
buggy_8.sol,tx.origin,308
buggy_7.sol,tx.origin,171
buggy_32.sol,Timestamp-Dependency,49
buggy_17.sol,Re-entrancy,106
buggy_11.sol,Re-entrancy,185
buggy_43.sol,Timestamp-Dependency,246
buggy_41.sol,Re-entrancy,44
buggy_16.sol,Overflow-Underflow,494
buggy_44.sol,Unhandled-Exceptions,137
buggy_35.sol,Re-entrancy,337
buggy_27.sol,Unhandled-Exceptions,53
buggy_47.sol,Unhandled-Exceptions,239
buggy_30.sol,TOD,514
buggy_29.sol,Unhandled-Exceptions,416
buggy_9.sol,Overflow-Underflow,204
buggy_34.sol,Unhandled-Exceptions,504
buggy_34.sol,Unchecked-Send,475
buggy_31.sol,tx.origin,263
buggy_12.sol,Timestamp-Dependency,444
buggy_35.sol,tx.origin,350
buggy_10.sol,TOD,144
buggy_37.sol,Overflow-Underflow,110
buggy_19.sol,tx.origin,116
buggy_8.sol,Timestamp-Dependency,302
buggy_49.sol,Unchecked-Send,31
buggy_5.sol,Unhandled-Exceptions,313
buggy_44.sol,Unhandled-Exceptions,36
buggy_14.sol,tx.origin,196
buggy_13.sol,Re-entrancy,147
buggy_48.sol,Re-entrancy,318
buggy_16.sol,Unchecked-Send,110
buggy_17.sol,Unchecked-Send,87
buggy_19.sol,Timestamp-Dependency,89
buggy_43.sol,Unchecked-Send,227
buggy_30.sol,Timestamp-Dependency,417
buggy_8.sol,Timestamp-Dependency,323
buggy_11.sol,Re-entrancy,359
buggy_14.sol,Timestamp-Dependency,123
buggy_1.sol,tx.origin,100
buggy_30.sol,Unhandled-Exceptions,285
buggy_6.sol,Unhandled-Exceptions,78
buggy_48.sol,TOD,571
buggy_32.sol,TOD,170
buggy_16.sol,tx.origin,264
buggy_38.sol,tx.origin,168
buggy_11.sol,Unhandled-Exceptions,43
buggy_16.sol,TOD,199
buggy_7.sol,Re-entrancy,264
buggy_27.sol,Unhandled-Exceptions,493
buggy_30.sol,TOD,986
buggy_40.sol,Overflow-Underflow,532
buggy_29.sol,Timestamp-Dependency,25
buggy_43.sol,Unchecked-Send,324
buggy_28.sol,Timestamp-Dependency,134
buggy_8.sol,Overflow-Underflow,143
buggy_30.sol,Re-entrancy,722
buggy_11.sol,Re-entrancy,394
buggy_18.sol,Re-entrancy,609
buggy_12.sol,Unhandled-Exceptions,275
buggy_49.sol,Overflow-Underflow,39
buggy_12.sol,tx.origin,321
buggy_16.sol,Overflow-Underflow,209
buggy_2.sol,Unchecked-Send,133
buggy_40.sol,tx.origin,487
buggy_26.sol,Re-entrancy,312
buggy_12.sol,Unchecked-Send,132
buggy_4.sol,Unhandled-Exceptions,211
buggy_26.sol,Timestamp-Dependency,233
buggy_47.sol,Unchecked-Send,24
buggy_35.sol,Overflow-Underflow,314
buggy_42.sol,Unhandled-Exceptions,260
buggy_19.sol,tx.origin,323
buggy_27.sol,Overflow-Underflow,253
buggy_43.sol,tx.origin,261
buggy_5.sol,Re-entrancy,417
buggy_11.sol,Re-entrancy,47
buggy_27.sol,Timestamp-Dependency,152
buggy_1.sol,Overflow-Underflow,121
buggy_48.sol,Re-entrancy,237
buggy_27.sol,Unhandled-Exceptions,167
buggy_33.sol,Overflow-Underflow,113
buggy_23.sol,Timestamp-Dependency,441
buggy_20.sol,Timestamp-Dependency,243
buggy_32.sol,Overflow-Underflow,141
buggy_35.sol,Timestamp-Dependency,215
buggy_43.sol,Overflow-Underflow,85
buggy_48.sol,TOD,364
buggy_23.sol,Unhandled-Exceptions,441
buggy_46.sol,Overflow-Underflow,157
buggy_36.sol,tx.origin,100
buggy_12.sol,Overflow-Underflow,309
buggy_1.sol,Unhandled-Exceptions,114
buggy_17.sol,Unhandled-Exceptions,220
buggy_4.sol,Unhandled-Exceptions,29
buggy_47.sol,Unhandled-Exceptions,246
buggy_17.sol,Unchecked-Send,197
buggy_33.sol,Overflow-Underflow,236
buggy_20.sol,Overflow-Underflow,341
buggy_23.sol,tx.origin,274
buggy_24.sol,Overflow-Underflow,432
buggy_40.sol,Overflow-Underflow,295
buggy_43.sol,TOD,602
buggy_26.sol,TOD,232
buggy_34.sol,Timestamp-Dependency,465
buggy_21.sol,tx.origin,189
buggy_34.sol,tx.origin,255
buggy_22.sol,Overflow-Underflow,294
buggy_47.sol,TOD,322
buggy_24.sol,TOD,742
buggy_10.sol,Timestamp-Dependency,23
buggy_16.sol,Overflow-Underflow,386
buggy_17.sol,tx.origin,311
buggy_14.sol,tx.origin,205
buggy_21.sol,Unhandled-Exceptions,291
buggy_12.sol,tx.origin,108
buggy_5.sol,Unchecked-Send,66
buggy_20.sol,Overflow-Underflow,304
buggy_40.sol,tx.origin,314
buggy_25.sol,Timestamp-Dependency,141
buggy_22.sol,Unchecked-Send,14
buggy_19.sol,Timestamp-Dependency,80
buggy_47.sol,Overflow-Underflow,13
buggy_25.sol,Unhandled-Exceptions,215
buggy_50.sol,TOD,253
buggy_43.sol,tx.origin,86
buggy_11.sol,Re-entrancy,376
buggy_14.sol,Timestamp-Dependency,100
buggy_11.sol,Overflow-Underflow,123
buggy_26.sol,Overflow-Underflow,63
buggy_13.sol,TOD,51
buggy_25.sol,TOD,252
buggy_12.sol,Unchecked-Send,280
buggy_42.sol,tx.origin,198
buggy_18.sol,Unhandled-Exceptions,312
buggy_20.sol,Unhandled-Exceptions,191
buggy_38.sol,TOD,272
buggy_45.sol,Timestamp-Dependency,67
buggy_14.sol,TOD,136
buggy_7.sol,Overflow-Underflow,44
buggy_13.sol,Timestamp-Dependency,42
buggy_50.sol,Unchecked-Send,223
buggy_8.sol,Overflow-Underflow,150
buggy_23.sol,Re-entrancy,256
buggy_11.sol,TOD,300
buggy_24.sol,TOD,796
buggy_17.sol,tx.origin,205
buggy_36.sol,Re-entrancy,57
buggy_39.sol,TOD,141
buggy_39.sol,Unhandled-Exceptions,44
buggy_37.sol,tx.origin,38
buggy_5.sol,Timestamp-Dependency,74
buggy_41.sol,Overflow-Underflow,126
buggy_1.sol,Overflow-Underflow,203
buggy_18.sol,Unhandled-Exceptions,151
buggy_20.sol,TOD,363
buggy_24.sol,tx.origin,391
buggy_16.sol,TOD,685
buggy_44.sol,TOD,675
buggy_12.sol,Timestamp-Dependency,128
buggy_22.sol,TOD,150
buggy_42.sol,Unchecked-Send,172
buggy_17.sol,tx.origin,96
buggy_5.sol,tx.origin,334
buggy_30.sol,Overflow-Underflow,879
buggy_4.sol,Timestamp-Dependency,205
buggy_10.sol,Unchecked-Send,23
buggy_32.sol,Unhandled-Exceptions,237
buggy_29.sol,Overflow-Underflow,346
buggy_25.sol,TOD,420
buggy_49.sol,Re-entrancy,27
buggy_1.sol,Overflow-Underflow,96
buggy_35.sol,Re-entrancy,456
buggy_37.sol,Timestamp-Dependency,238
buggy_28.sol,Overflow-Underflow,218
buggy_37.sol,Unchecked-Send,112
buggy_6.sol,TOD,462
buggy_23.sol,TOD,708
buggy_50.sol,Unhandled-Exceptions,14
buggy_7.sol,tx.origin,133
buggy_23.sol,TOD,198
buggy_12.sol,Re-entrancy,411
buggy_16.sol,Overflow-Underflow,272
buggy_22.sol,tx.origin,286
buggy_32.sol,tx.origin,224
buggy_7.sol,Re-entrancy,108
buggy_43.sol,TOD,93
buggy_50.sol,Unchecked-Send,10
buggy_31.sol,TOD,381
buggy_21.sol,tx.origin,132
buggy_3.sol,tx.origin,110
buggy_44.sol,Unchecked-Send,317
buggy_36.sol,Unhandled-Exceptions,259
buggy_22.sol,Overflow-Underflow,305
buggy_6.sol,Unhandled-Exceptions,197
buggy_49.sol,Unhandled-Exceptions,73
buggy_34.sol,Overflow-Underflow,421
buggy_23.sol,Timestamp-Dependency,120
buggy_20.sol,Re-entrancy,430
buggy_44.sol,tx.origin,54
buggy_25.sol,Unchecked-Send,55
buggy_9.sol,Re-entrancy,311
buggy_30.sol,Timestamp-Dependency,435
buggy_4.sol,TOD,392
buggy_43.sol,TOD,574
buggy_16.sol,Re-entrancy,355
buggy_36.sol,Timestamp-Dependency,243
buggy_15.sol,Unchecked-Send,31
buggy_18.sol,tx.origin,291
buggy_34.sol,tx.origin,155
buggy_38.sol,Unchecked-Send,69
buggy_1.sol,tx.origin,86
buggy_12.sol,Unhandled-Exceptions,410
buggy_5.sol,tx.origin,27
buggy_32.sol,TOD,156
buggy_14.sol,Re-entrancy,142
buggy_37.sol,tx.origin,180
buggy_45.sol,Timestamp-Dependency,72
buggy_2.sol,Unchecked-Send,14
buggy_6.sol,Unchecked-Send,168
buggy_48.sol,Timestamp-Dependency,118
buggy_36.sol,Overflow-Underflow,284
buggy_13.sol,Unchecked-Send,41
buggy_18.sol,Overflow-Underflow,519
buggy_13.sol,Unhandled-Exceptions,74
buggy_27.sol,Unhandled-Exceptions,507
buggy_37.sol,Unchecked-Send,131
buggy_43.sol,TOD,421
buggy_7.sol,Unchecked-Send,28
buggy_50.sol,Unhandled-Exceptions,241
buggy_22.sol,Re-entrancy,112
buggy_42.sol,Overflow-Underflow,278
buggy_11.sol,Overflow-Underflow,151
buggy_43.sol,Overflow-Underflow,377
buggy_26.sol,Overflow-Underflow,155
buggy_43.sol,Re-entrancy,304
buggy_38.sol,Re-entrancy,393
buggy_27.sol,Timestamp-Dependency,239
buggy_42.sol,tx.origin,98
buggy_16.sol,Overflow-Underflow,195
buggy_12.sol,Unchecked-Send,246
buggy_28.sol,Overflow-Underflow,68
buggy_2.sol,Re-entrancy,210
buggy_35.sol,Unhandled-Exceptions,416
buggy_35.sol,Overflow-Underflow,292
buggy_37.sol,Unhandled-Exceptions,126
buggy_47.sol,Timestamp-Dependency,204
buggy_16.sol,Re-entrancy,405
buggy_27.sol,Overflow-Underflow,239
buggy_21.sol,tx.origin,81
buggy_46.sol,TOD,215
buggy_44.sol,Unchecked-Send,104
buggy_11.sol,Re-entrancy,57
buggy_41.sol,Re-entrancy,172
buggy_6.sol,Overflow-Underflow,38
buggy_13.sol,Re-entrancy,118
buggy_13.sol,Unhandled-Exceptions,176
buggy_8.sol,TOD,370
buggy_37.sol,Re-entrancy,418
buggy_47.sol,Unchecked-Send,199
buggy_23.sol,Timestamp-Dependency,395
buggy_47.sol,Timestamp-Dependency,81
buggy_47.sol,Overflow-Underflow,233
buggy_32.sol,Overflow-Underflow,159
buggy_4.sol,Overflow-Underflow,199
buggy_12.sol,Timestamp-Dependency,316
buggy_8.sol,tx.origin,273
buggy_42.sol,Overflow-Underflow,96
buggy_42.sol,Unchecked-Send,72
buggy_32.sol,Re-entrancy,226
buggy_43.sol,Re-entrancy,510
buggy_30.sol,tx.origin,606
buggy_23.sol,Unhandled-Exceptions,431
buggy_27.sol,Unhandled-Exceptions,522
buggy_20.sol,tx.origin,176
buggy_24.sol,TOD,607
buggy_1.sol,Unhandled-Exceptions,68
buggy_45.sol,Unchecked-Send,198
buggy_39.sol,Re-entrancy,58
buggy_47.sol,Re-entrancy,521
buggy_34.sol,Overflow-Underflow,565
buggy_24.sol,Overflow-Underflow,418
buggy_20.sol,Timestamp-Dependency,324
buggy_34.sol,Re-entrancy,315
buggy_24.sol,Overflow-Underflow,924
buggy_36.sol,Unhandled-Exceptions,266
buggy_37.sol,TOD,197
buggy_38.sol,tx.origin,294
buggy_8.sol,Unhandled-Exceptions,282
buggy_12.sol,Overflow-Underflow,358
buggy_37.sol,tx.origin,344
buggy_29.sol,Overflow-Underflow,25
buggy_12.sol,tx.origin,126
buggy_17.sol,Unchecked-Send,106
buggy_5.sol,Timestamp-Dependency,166
buggy_47.sol,Re-entrancy,404
buggy_31.sol,Timestamp-Dependency,124
buggy_32.sol,tx.origin,68
buggy_16.sol,TOD,71
buggy_18.sol,Overflow-Underflow,665
buggy_47.sol,Overflow-Underflow,35
buggy_35.sol,Unhandled-Exceptions,245
buggy_18.sol,TOD,658
buggy_33.sol,Unhandled-Exceptions,143
buggy_30.sol,Unhandled-Exceptions,826
buggy_3.sol,tx.origin,202
buggy_23.sol,Re-entrancy,409
buggy_8.sol,tx.origin,73
buggy_5.sol,Overflow-Underflow,130
buggy_25.sol,Overflow-Underflow,319
buggy_20.sol,Re-entrancy,520
buggy_37.sol,Re-entrancy,141
buggy_37.sol,tx.origin,189
buggy_7.sol,Re-entrancy,307
buggy_27.sol,Unhandled-Exceptions,448
buggy_6.sol,tx.origin,203
buggy_37.sol,Unchecked-Send,148
buggy_29.sol,Unhandled-Exceptions,205
buggy_33.sol,Unchecked-Send,11
buggy_27.sol,tx.origin,393
buggy_3.sol,tx.origin,161
buggy_16.sol,Timestamp-Dependency,89
buggy_15.sol,tx.origin,160
buggy_36.sol,Unhandled-Exceptions,64
buggy_38.sol,Unhandled-Exceptions,328
buggy_34.sol,Timestamp-Dependency,143
buggy_41.sol,tx.origin,63
buggy_49.sol,TOD,211
buggy_40.sol,Unchecked-Send,258
buggy_16.sol,Unhandled-Exceptions,173
buggy_29.sol,Unchecked-Send,327
buggy_30.sol,tx.origin,429
buggy_6.sol,Overflow-Underflow,144
buggy_44.sol,Unhandled-Exceptions,411
buggy_11.sol,Unhandled-Exceptions,225
buggy_2.sol,Unhandled-Exceptions,66
buggy_18.sol,Overflow-Underflow,611
buggy_28.sol,Re-entrancy,124
buggy_31.sol,Unchecked-Send,184
buggy_26.sol,Unhandled-Exceptions,228
buggy_23.sol,Timestamp-Dependency,313
buggy_17.sol,TOD,587
buggy_48.sol,Unchecked-Send,98
buggy_22.sol,Re-entrancy,458
buggy_21.sol,Unchecked-Send,111
buggy_25.sol,TOD,438
buggy_33.sol,TOD,219
buggy_29.sol,Timestamp-Dependency,360
buggy_4.sol,TOD,226
buggy_43.sol,TOD,228
buggy_22.sol,Unhandled-Exceptions,204
buggy_43.sol,tx.origin,371
buggy_8.sol,tx.origin,280
buggy_7.sol,tx.origin,151
buggy_35.sol,Timestamp-Dependency,240
buggy_12.sol,Re-entrancy,437
buggy_32.sol,Timestamp-Dependency,109
buggy_43.sol,Overflow-Underflow,442
buggy_1.sol,Unchecked-Send,30
