contract,bug_type,llm_response,success
buggy_8.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_9.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_24.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_25.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_40.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_41.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_37.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_36.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_20.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_21.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_14.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_15.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_6.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_7.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_50.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_19.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_18.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_27.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_26.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_13.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_12.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_1.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_47.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_46.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_30.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_31.sol,Timestamp-Dependency,"Error: '\n    ""findings""'",false
buggy_17.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_16.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_5.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_4.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_29.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_28.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_23.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_22.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_49.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_48.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_43.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_42.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_34.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_35.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_39.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_38.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_44.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_45.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_33.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_32.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_10.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_11.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_2.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_3.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_8.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_9.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_24.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_25.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_40.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_41.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_37.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_36.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_20.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_21.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_14.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_15.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_6.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_7.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_50.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_19.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_18.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_27.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_26.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_13.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_12.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_1.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_47.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_46.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_30.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_31.sol,Unchecked-Send,"Error: '\n    ""findings""'",false
buggy_17.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_16.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_5.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_4.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_29.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_28.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_23.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_22.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_49.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_48.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_43.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_42.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_34.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_35.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_39.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_38.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_44.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_45.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_33.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_32.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_10.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_11.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_2.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_3.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_8.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_9.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_24.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_25.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_40.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_41.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_37.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_36.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_20.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_21.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_14.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_15.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_6.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_7.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_50.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_19.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_18.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_27.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_26.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_13.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_12.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_1.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_47.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_46.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_30.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_31.sol,Unhandled-Exceptions,"Error: '\n    ""findings""'",false
buggy_17.sol,TOD,"Error: '\n    ""findings""'",false
buggy_16.sol,TOD,"Error: '\n    ""findings""'",false
buggy_5.sol,TOD,"Error: '\n    ""findings""'",false
buggy_4.sol,TOD,"Error: '\n    ""findings""'",false
buggy_29.sol,TOD,"Error: '\n    ""findings""'",false
buggy_28.sol,TOD,"Error: '\n    ""findings""'",false
buggy_23.sol,TOD,"Error: '\n    ""findings""'",false
buggy_22.sol,TOD,"Error: '\n    ""findings""'",false
buggy_49.sol,TOD,"Error: '\n    ""findings""'",false
buggy_48.sol,TOD,"Error: '\n    ""findings""'",false
buggy_43.sol,TOD,"Error: '\n    ""findings""'",false
buggy_42.sol,TOD,"Error: '\n    ""findings""'",false
buggy_34.sol,TOD,"Error: '\n    ""findings""'",false
buggy_35.sol,TOD,"Error: '\n    ""findings""'",false
buggy_39.sol,TOD,"Error: '\n    ""findings""'",false
buggy_38.sol,TOD,"Error: '\n    ""findings""'",false
buggy_44.sol,TOD,"Error: '\n    ""findings""'",false
buggy_45.sol,TOD,"Error: '\n    ""findings""'",false
buggy_33.sol,TOD,"Error: '\n    ""findings""'",false
buggy_32.sol,TOD,"Error: '\n    ""findings""'",false
buggy_10.sol,TOD,"Error: '\n    ""findings""'",false
buggy_11.sol,TOD,"Error: '\n    ""findings""'",false
buggy_2.sol,TOD,"Error: '\n    ""findings""'",false
buggy_3.sol,TOD,"Error: '\n    ""findings""'",false
buggy_8.sol,TOD,"Error: '\n    ""findings""'",false
buggy_9.sol,TOD,"Error: '\n    ""findings""'",false
buggy_24.sol,TOD,"Error: '\n    ""findings""'",false
buggy_25.sol,TOD,"Error: '\n    ""findings""'",false
buggy_40.sol,TOD,"Error: '\n    ""findings""'",false
buggy_41.sol,TOD,"Error: '\n    ""findings""'",false
buggy_37.sol,TOD,"Error: '\n    ""findings""'",false
buggy_36.sol,TOD,"Error: '\n    ""findings""'",false
buggy_20.sol,TOD,"Error: '\n    ""findings""'",false
buggy_21.sol,TOD,"Error: '\n    ""findings""'",false
buggy_14.sol,TOD,"Error: '\n    ""findings""'",false
buggy_15.sol,TOD,"Error: '\n    ""findings""'",false
buggy_6.sol,TOD,"Error: '\n    ""findings""'",false
buggy_7.sol,TOD,"Error: '\n    ""findings""'",false
buggy_50.sol,TOD,"Error: '\n    ""findings""'",false
buggy_19.sol,TOD,"Error: '\n    ""findings""'",false
buggy_18.sol,TOD,"Error: '\n    ""findings""'",false
buggy_27.sol,TOD,"Error: '\n    ""findings""'",false
buggy_26.sol,TOD,"Error: '\n    ""findings""'",false
buggy_13.sol,TOD,"Error: '\n    ""findings""'",false
buggy_12.sol,TOD,"Error: '\n    ""findings""'",false
buggy_1.sol,TOD,"Error: '\n    ""findings""'",false
buggy_47.sol,TOD,"Error: '\n    ""findings""'",false
buggy_46.sol,TOD,"Error: '\n    ""findings""'",false
buggy_30.sol,TOD,"Error: '\n    ""findings""'",false
buggy_31.sol,TOD,"Error: '\n    ""findings""'",false
buggy_17.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_16.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_5.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_4.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_29.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_28.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_23.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_22.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_49.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_48.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_43.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_42.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_34.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_35.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_39.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_38.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_44.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_45.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_33.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_32.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_10.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_11.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_2.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_3.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_8.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_9.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_24.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_25.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_40.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_41.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_37.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_36.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_20.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_21.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_14.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_15.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_6.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_7.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_50.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_19.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_18.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_27.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_26.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_13.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_12.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_1.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_47.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_46.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_30.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_31.sol,Overflow-Underflow,"Error: '\n    ""findings""'",false
buggy_17.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_16.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_5.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_4.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_29.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_28.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_23.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_22.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_49.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_48.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_43.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_42.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_34.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_35.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_39.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_38.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_44.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_45.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_33.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_32.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_10.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_11.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_2.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_3.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_8.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_9.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_24.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_25.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_40.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_41.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_37.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_36.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_20.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_21.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_14.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_15.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_6.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_7.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_50.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_19.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_18.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_27.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_26.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_13.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_12.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_1.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_47.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_46.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_30.sol,tx.origin,"Error: '\n    ""findings""'",false
buggy_31.sol,tx.origin,"Error: '\n    ""findings""'",false
