Bug_Type,Contract,Line,Description
Re-entrancy,buggy_1.sol,51,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,119,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,184,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,22,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,86,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,151,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,213,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,243,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_1.sol,94,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,393,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,137,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,146,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,280,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,409,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,156,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,165,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,422,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,294,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,174,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,307,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,54,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,183,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,63,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,193,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,70,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,206,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,336,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,85,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,217,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,348,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,98,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,229,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,363,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,112,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,241,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,379,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,124,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_28.sol,255,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,135,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,8,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,266,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,17,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,281,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,25,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,164,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,36,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,296,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,46,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,55,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,65,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,196,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,76,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,212,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,86,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,95,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,227,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,105,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,237,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_3.sol,255,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,130,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,261,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,391,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,521,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,13,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,274,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,404,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,534,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,22,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,152,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,284,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,31,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,417,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,293,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,167,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,42,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,304,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,52,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,439,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,186,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,314,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,61,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,324,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,76,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,333,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,208,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,85,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,344,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,473,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,219,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,94,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,486,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,231,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,360,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,103,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,505,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,113,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,120,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,249,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_47.sol,378,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,388,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,521,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,10,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,137,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,400,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,534,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,151,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,27,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,412,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,288,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,164,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,41,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,431,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,176,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,51,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,189,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,61,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,318,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,206,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,80,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,215,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,473,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,94,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,230,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,361,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,491,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,109,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,243,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,505,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_44.sol,123,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,393,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,137,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,146,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,280,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,409,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,156,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,165,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,422,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,294,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,174,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,307,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,54,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,183,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,63,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,193,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,70,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,206,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,336,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,85,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,217,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,348,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,98,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,229,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,363,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,112,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,241,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,379,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,124,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_38.sol,255,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,258,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,135,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,9,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,272,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,145,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,18,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,24,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,154,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,288,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,163,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,174,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,305,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,183,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,73,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,338,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,350,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,227,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,99,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,106,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,365,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,243,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,115,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,377,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_45.sol,125,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,264,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,9,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,139,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,398,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,19,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,278,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,152,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,28,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,290,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,36,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,165,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,42,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,300,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,51,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,179,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,309,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,317,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,62,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,192,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,332,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,206,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,82,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,345,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,221,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,95,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,362,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,236,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,108,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,251,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_6.sol,383,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,513,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,5,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,268,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,14,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,23,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,536,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,153,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,31,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,287,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,163,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,551,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,173,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,563,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,183,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,315,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,194,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,75,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,204,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,341,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,86,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,215,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,96,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,358,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,106,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,237,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,116,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_21.sol,253,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,256,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,130,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,390,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,523,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,140,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,278,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,409,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,540,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,156,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,555,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,301,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,173,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,436,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,575,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,192,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,450,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,323,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,212,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,472,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,346,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,481,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,234,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,490,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,368,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,120,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_23.sol,506,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,132,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,261,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,397,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,141,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,151,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,279,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,410,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,288,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,161,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,297,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,170,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,426,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,49,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,308,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,440,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,187,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,317,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,63,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,201,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,335,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,80,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,214,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,97,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,229,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,106,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,365,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,113,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,244,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,122,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_17.sol,379,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_8.sol,259,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_8.sol,134,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_8.sol,8,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_8.sol,397,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_8.sol,16,Ground truth vulnerability missed by LLM
Re-entrancy,buggy_8.sol,147,Ground truth vulnerability missed by LLM
