Bug_Type,Contract,LLM_Line,Ground_Truth_Line,Line_Difference
Timestamp-Dependency,buggy_45.sol,21,21,0
Timestamp-Dependency,buggy_45.sol,23,25,-2
Timestamp-Dependency,buggy_45.sol,27,27,0
Timestamp-Dependency,buggy_45.sol,30,29,1
Timestamp-Dependency,buggy_45.sol,34,32,2
Timestamp-Dependency,buggy_45.sol,51,52,-1
Timestamp-Dependency,buggy_45.sol,55,56,-1
Timestamp-Dependency,buggy_45.sol,64,62,2
Timestamp-Dependency,buggy_45.sol,68,67,1
Timestamp-Dependency,buggy_45.sol,72,72,0
Timestamp-Dependency,buggy_6.sol,34,33,1
Timestamp-Dependency,buggy_6.sol,35,35,0
Timestamp-Dependency,buggy_6.sol,14,14,0
Timestamp-Dependency,buggy_6.sol,48,46,2
Timestamp-Dependency,buggy_6.sol,20,18,2
Timestamp-Dependency,buggy_6.sol,55,54,1
Timestamp-Dependency,buggy_6.sol,25,23,2
Timestamp-Dependency,buggy_6.sol,27,29,-2
Timestamp-Dependency,buggy_17.sol,69,67,2
Timestamp-Dependency,buggy_17.sol,48,49,-1
Timestamp-Dependency,buggy_17.sol,55,57,-2
Timestamp-Dependency,buggy_7.sol,14,13,1
Timestamp-Dependency,buggy_7.sol,17,18,-1
Timestamp-Dependency,buggy_7.sol,23,23,0
Timestamp-Dependency,buggy_7.sol,29,29,0
Timestamp-Dependency,buggy_7.sol,32,33,-1
Timestamp-Dependency,buggy_7.sol,35,35,0
Timestamp-Dependency,buggy_7.sol,48,46,2
Timestamp-Dependency,buggy_7.sol,54,54,0
Timestamp-Dependency,buggy_7.sol,60,62,-2
Timestamp-Dependency,buggy_11.sol,34,35,-1
Timestamp-Dependency,buggy_11.sol,28,29,-1
Timestamp-Dependency,buggy_32.sol,74,75,-1
Timestamp-Dependency,buggy_32.sol,50,49,1
Timestamp-Dependency,buggy_32.sol,61,59,2
Timestamp-Dependency,buggy_25.sol,13,13,0
Timestamp-Dependency,buggy_4.sol,29,29,0
Timestamp-Dependency,buggy_4.sol,38,39,-1
Timestamp-Dependency,buggy_4.sol,44,45,-1
Timestamp-Dependency,buggy_4.sol,53,52,1
Timestamp-Dependency,buggy_4.sol,61,62,-1
Timestamp-Dependency,buggy_4.sol,72,73,-1
Timestamp-Dependency,buggy_4.sol,95,96,-1
Timestamp-Dependency,buggy_4.sol,109,110,-1
Timestamp-Dependency,buggy_4.sol,121,121,0
Timestamp-Dependency,buggy_15.sol,32,30,2
Timestamp-Dependency,buggy_15.sol,42,42,0
Timestamp-Dependency,buggy_15.sol,15,13,2
Timestamp-Dependency,buggy_15.sol,20,19,1
Timestamp-Dependency,buggy_15.sol,25,24,1
Timestamp-Dependency,buggy_46.sol,21,21,0
Timestamp-Dependency,buggy_41.sol,34,34,0
Timestamp-Dependency,buggy_41.sol,67,68,-1
Timestamp-Dependency,buggy_41.sol,45,46,-1
Timestamp-Dependency,buggy_41.sol,15,17,-2
Timestamp-Dependency,buggy_41.sol,21,23,-2
Timestamp-Dependency,buggy_33.sol,34,33,1
Timestamp-Dependency,buggy_33.sol,38,38,0
Timestamp-Dependency,buggy_33.sol,13,12,1
Timestamp-Dependency,buggy_33.sol,82,84,-2
Timestamp-Dependency,buggy_33.sol,24,23,1
Timestamp-Dependency,buggy_9.sol,71,73,-2
Timestamp-Dependency,buggy_9.sol,79,80,-1
Timestamp-Dependency,buggy_9.sol,55,55,0
Timestamp-Dependency,buggy_9.sol,63,63,0
Timestamp-Dependency,buggy_39.sol,38,37,1
Timestamp-Dependency,buggy_39.sol,42,44,-2
Timestamp-Dependency,buggy_39.sol,13,15,-2
Timestamp-Dependency,buggy_39.sol,53,55,-2
Timestamp-Dependency,buggy_39.sol,55,57,-2
Timestamp-Dependency,buggy_39.sol,23,25,-2
Timestamp-Dependency,buggy_39.sol,31,29,2
Timestamp-Dependency,buggy_42.sol,32,33,-1
Timestamp-Dependency,buggy_42.sol,36,38,-2
Timestamp-Dependency,buggy_42.sol,16,17,-1
Timestamp-Dependency,buggy_42.sol,24,23,1
Timestamp-Dependency,buggy_31.sol,101,102,-1
Timestamp-Dependency,buggy_2.sol,32,30,2
Timestamp-Dependency,buggy_2.sol,35,36,-1
Timestamp-Dependency,buggy_50.sol,40,39,1
Timestamp-Dependency,buggy_50.sol,15,15,0
Timestamp-Dependency,buggy_50.sol,48,50,-2
Timestamp-Dependency,buggy_50.sol,20,20,0
Timestamp-Dependency,buggy_50.sol,25,27,-2
Timestamp-Dependency,buggy_10.sol,38,37,1
Timestamp-Dependency,buggy_10.sol,10,8,2
Timestamp-Dependency,buggy_10.sol,14,12,2
Timestamp-Dependency,buggy_10.sol,21,23,-2
Timestamp-Dependency,buggy_10.sol,24,25,-1
Timestamp-Dependency,buggy_10.sol,26,27,-1
Timestamp-Dependency,buggy_49.sol,35,37,-2
Timestamp-Dependency,buggy_49.sol,43,44,-1
Timestamp-Dependency,buggy_49.sol,13,15,-2
Timestamp-Dependency,buggy_49.sol,55,55,0
Timestamp-Dependency,buggy_49.sol,23,25,-2
Timestamp-Dependency,buggy_37.sol,52,53,-1
Timestamp-Dependency,buggy_37.sol,28,30,-2
Unchecked-Send,buggy_43.sol,10,10,0
Unchecked-Send,buggy_13.sol,13,13,0
Unchecked-Send,buggy_13.sol,16,16,0
Unchecked-Send,buggy_13.sol,19,19,0
Unchecked-Send,buggy_13.sol,22,23,-1
Unchecked-Send,buggy_3.sol,7,8,-1
Unchecked-Send,buggy_3.sol,9,11,-2
Unchecked-Send,buggy_3.sol,13,14,-1
Unchecked-Send,buggy_3.sol,17,18,-1
Unchecked-Send,buggy_3.sol,19,21,-2
Unchecked-Send,buggy_44.sol,17,19,-2
Unchecked-Send,buggy_44.sol,11,10,1
Unchecked-Send,buggy_45.sol,7,9,-2
Unchecked-Send,buggy_45.sol,10,12,-2
Unchecked-Send,buggy_6.sol,15,15,0
Unchecked-Send,buggy_8.sol,13,12,1
Unchecked-Send,buggy_11.sol,31,29,2
Unchecked-Send,buggy_15.sol,14,13,1
Unchecked-Send,buggy_15.sol,20,19,1
Unchecked-Send,buggy_15.sol,24,23,1
Unchecked-Send,buggy_15.sol,28,28,0
Unchecked-Send,buggy_33.sol,32,33,-1
Unchecked-Send,buggy_33.sol,15,15,0
Unchecked-Send,buggy_33.sol,21,22,-1
Unchecked-Send,buggy_20.sol,42,43,-1
Unchecked-Send,buggy_27.sol,113,112,1
Unchecked-Send,buggy_39.sol,33,31,2
Unchecked-Send,buggy_39.sol,40,41,-1
Unchecked-Send,buggy_39.sol,12,12,0
Unchecked-Send,buggy_39.sol,19,18,1
Unchecked-Send,buggy_42.sol,23,22,1
Unchecked-Send,buggy_2.sol,33,33,0
Unchecked-Send,buggy_2.sol,37,36,1
Unchecked-Send,buggy_2.sol,41,41,0
Unchecked-Send,buggy_2.sol,23,21,2
Unchecked-Send,buggy_2.sol,27,27,0
Unchecked-Send,buggy_50.sol,20,18,2
Unchecked-Send,buggy_50.sol,14,14,0
Unchecked-Send,buggy_29.sol,24,23,1
Unchecked-Send,buggy_10.sol,8,8,0
Unchecked-Send,buggy_10.sol,11,11,0
Unchecked-Send,buggy_49.sol,32,31,1
Unchecked-Send,buggy_49.sol,20,18,2
Unchecked-Send,buggy_49.sol,14,12,2
Unchecked-Send,buggy_37.sol,74,74,0
Unhandled-Exceptions,buggy_5.sol,32,34,-2
Unhandled-Exceptions,buggy_5.sol,68,69,-1
Unhandled-Exceptions,buggy_5.sol,20,18,2
Unhandled-Exceptions,buggy_5.sol,56,55,1
Unhandled-Exceptions,buggy_6.sol,34,34,0
Unhandled-Exceptions,buggy_6.sol,71,71,0
Unhandled-Exceptions,buggy_6.sol,44,44,0
Unhandled-Exceptions,buggy_6.sol,14,13,1
Unhandled-Exceptions,buggy_6.sol,79,78,1
Unhandled-Exceptions,buggy_6.sol,114,115,-1
Unhandled-Exceptions,buggy_6.sol,51,51,0
Unhandled-Exceptions,buggy_6.sol,21,19,2
Unhandled-Exceptions,buggy_6.sol,62,63,-1
Unhandled-Exceptions,buggy_8.sol,33,34,-1
Unhandled-Exceptions,buggy_8.sol,18,18,0
Unhandled-Exceptions,buggy_7.sol,70,68,2
Unhandled-Exceptions,buggy_7.sol,40,39,1
Unhandled-Exceptions,buggy_7.sol,76,76,0
Unhandled-Exceptions,buggy_7.sol,17,18,-1
Unhandled-Exceptions,buggy_7.sol,82,83,-1
Unhandled-Exceptions,buggy_7.sol,23,22,1
Unhandled-Exceptions,buggy_7.sol,58,56,2
Unhandled-Exceptions,buggy_7.sol,28,29,-1
Unhandled-Exceptions,buggy_32.sol,50,49,1
Unhandled-Exceptions,buggy_33.sol,13,11,2
Unhandled-Exceptions,buggy_33.sol,47,47,0
Unhandled-Exceptions,buggy_33.sol,17,19,-2
Unhandled-Exceptions,buggy_33.sol,29,29,0
Unhandled-Exceptions,buggy_26.sol,65,63,2
Unhandled-Exceptions,buggy_20.sol,42,42,0
Unhandled-Exceptions,buggy_20.sol,54,53,1
Unhandled-Exceptions,buggy_50.sol,64,64,0
Unhandled-Exceptions,buggy_50.sol,44,45,-1
Unhandled-Exceptions,buggy_50.sol,14,14,0
Unhandled-Exceptions,buggy_50.sol,84,83,1
Unhandled-Exceptions,buggy_50.sol,54,56,-2
Unhandled-Exceptions,buggy_50.sol,24,22,2
Unhandled-Exceptions,buggy_10.sol,10,8,2
Unhandled-Exceptions,buggy_10.sol,26,28,-2
TOD,buggy_13.sol,15,13,2
TOD,buggy_13.sol,31,32,-1
TOD,buggy_4.sol,27,29,-2
TOD,buggy_41.sol,35,36,-1
TOD,buggy_39.sol,28,28,0
TOD,buggy_42.sol,44,42,2
TOD,buggy_2.sol,157,155,2
TOD,buggy_50.sol,203,205,-2
Overflow-Underflow,buggy_1.sol,41,43,-2
Overflow-Underflow,buggy_1.sol,21,22,-1
Overflow-Underflow,buggy_1.sol,31,32,-1
Overflow-Underflow,buggy_28.sol,64,63,1
Overflow-Underflow,buggy_28.sol,129,127,2
Overflow-Underflow,buggy_28.sol,78,79,-1
Overflow-Underflow,buggy_28.sol,53,54,-1
Overflow-Underflow,buggy_28.sol,118,116,2
Overflow-Underflow,buggy_3.sol,8,8,0
Overflow-Underflow,buggy_3.sol,11,13,-2
Overflow-Underflow,buggy_3.sol,16,18,-2
Overflow-Underflow,buggy_38.sol,65,63,2
Overflow-Underflow,buggy_38.sol,54,54,0
Overflow-Underflow,buggy_38.sol,87,87,0
Overflow-Underflow,buggy_45.sol,42,40,2
Overflow-Underflow,buggy_45.sol,13,14,-1
Overflow-Underflow,buggy_45.sol,26,24,2
Overflow-Underflow,buggy_6.sol,32,33,-1
Overflow-Underflow,buggy_6.sol,66,68,-2
Overflow-Underflow,buggy_6.sol,40,38,2
Overflow-Underflow,buggy_6.sol,7,9,-2
Overflow-Underflow,buggy_6.sol,20,18,2
Overflow-Underflow,buggy_7.sol,39,39,0
Overflow-Underflow,buggy_7.sol,43,44,-1
Overflow-Underflow,buggy_7.sol,48,49,-1
Overflow-Underflow,buggy_7.sol,52,54,-2
Overflow-Underflow,buggy_7.sol,21,20,1
Overflow-Underflow,buggy_7.sol,30,29,1
Overflow-Underflow,buggy_19.sol,71,70,1
Overflow-Underflow,buggy_19.sol,59,58,1
Overflow-Underflow,buggy_15.sol,34,33,1
Overflow-Underflow,buggy_15.sol,43,45,-2
Overflow-Underflow,buggy_15.sol,14,13,1
Overflow-Underflow,buggy_15.sol,16,18,-2
Overflow-Underflow,buggy_15.sol,22,23,-1
Overflow-Underflow,buggy_15.sol,92,93,-1
Overflow-Underflow,buggy_41.sol,35,37,-2
Overflow-Underflow,buggy_41.sol,45,44,1
Overflow-Underflow,buggy_41.sol,23,22,1
Overflow-Underflow,buggy_41.sol,25,27,-2
Overflow-Underflow,buggy_33.sol,38,38,0
Overflow-Underflow,buggy_33.sol,28,29,-1
Overflow-Underflow,buggy_14.sol,160,160,0
Overflow-Underflow,buggy_14.sol,71,72,-1
Overflow-Underflow,buggy_14.sol,104,102,2
Overflow-Underflow,buggy_14.sol,173,172,1
Overflow-Underflow,buggy_14.sol,93,91,2
Overflow-Underflow,buggy_39.sol,33,32,1
Overflow-Underflow,buggy_39.sol,65,66,-1
Overflow-Underflow,buggy_39.sol,41,39,2
Overflow-Underflow,buggy_39.sol,47,49,-2
Overflow-Underflow,buggy_39.sol,17,18,-1
Overflow-Underflow,buggy_39.sol,62,61,1
Overflow-Underflow,buggy_42.sol,37,38,-1
Overflow-Underflow,buggy_42.sol,9,8,1
Overflow-Underflow,buggy_42.sol,17,17,0
Overflow-Underflow,buggy_2.sol,10,8,2
Overflow-Underflow,buggy_2.sol,11,13,-2
Overflow-Underflow,buggy_2.sol,43,41,2
Overflow-Underflow,buggy_2.sol,48,46,2
Overflow-Underflow,buggy_29.sol,32,30,2
Overflow-Underflow,buggy_29.sol,23,25,-2
Overflow-Underflow,buggy_10.sol,6,8,-2
Overflow-Underflow,buggy_10.sol,12,13,-1
Overflow-Underflow,buggy_10.sol,46,48,-2
Overflow-Underflow,buggy_10.sol,23,24,-1
Overflow-Underflow,buggy_10.sol,28,29,-1
Overflow-Underflow,buggy_49.sol,34,32,2
Overflow-Underflow,buggy_49.sol,67,66,1
Overflow-Underflow,buggy_49.sol,40,39,1
Overflow-Underflow,buggy_49.sol,16,18,-2
tx.origin,buggy_5.sol,47,49,-2
tx.origin,buggy_5.sol,26,27,-1
tx.origin,buggy_1.sol,34,32,2
tx.origin,buggy_1.sol,66,67,-1
tx.origin,buggy_1.sol,70,72,-2
tx.origin,buggy_1.sol,42,43,-1
tx.origin,buggy_1.sol,20,22,-2
tx.origin,buggy_1.sol,54,53,1
tx.origin,buggy_1.sol,62,62,0
tx.origin,buggy_28.sol,96,97,-1
tx.origin,buggy_28.sol,106,105,1
tx.origin,buggy_28.sol,76,74,2
tx.origin,buggy_28.sol,111,110,1
tx.origin,buggy_28.sol,81,82,-1
tx.origin,buggy_28.sol,61,59,2
tx.origin,buggy_28.sol,116,116,0
tx.origin,buggy_28.sol,56,54,2
tx.origin,buggy_28.sol,91,90,1
tx.origin,buggy_3.sol,35,34,1
tx.origin,buggy_3.sol,41,39,2
tx.origin,buggy_3.sol,11,13,-2
tx.origin,buggy_3.sol,47,49,-2
tx.origin,buggy_3.sol,53,53,0
tx.origin,buggy_3.sol,85,85,0
tx.origin,buggy_3.sol,25,24,1
tx.origin,buggy_3.sol,29,29,0
tx.origin,buggy_44.sol,65,64,1
tx.origin,buggy_44.sol,35,35,0
tx.origin,buggy_44.sol,40,41,-1
tx.origin,buggy_44.sol,10,10,0
tx.origin,buggy_44.sol,75,75,0
tx.origin,buggy_44.sol,20,20,0
tx.origin,buggy_44.sol,85,85,0
tx.origin,buggy_44.sol,55,54,1
tx.origin,buggy_44.sol,30,30,0
tx.origin,buggy_38.sol,53,54,-1
tx.origin,buggy_38.sol,57,59,-2
tx.origin,buggy_38.sol,61,63,-2
tx.origin,buggy_38.sol,73,74,-1
tx.origin,buggy_38.sol,81,82,-1
tx.origin,buggy_38.sol,89,90,-1
tx.origin,buggy_38.sol,97,97,0
tx.origin,buggy_38.sol,105,105,0
tx.origin,buggy_38.sol,109,110,-1
tx.origin,buggy_17.sol,71,70,1
tx.origin,buggy_17.sol,81,82,-1
tx.origin,buggy_17.sol,51,49,2
tx.origin,buggy_17.sol,56,58,-2
tx.origin,buggy_8.sol,13,14,-1
tx.origin,buggy_8.sol,25,27,-2
tx.origin,buggy_7.sol,12,14,-2
tx.origin,buggy_7.sol,18,19,-1
tx.origin,buggy_7.sol,24,25,-1
tx.origin,buggy_7.sol,27,29,-2
tx.origin,buggy_7.sol,33,34,-1
tx.origin,buggy_7.sol,36,38,-2
tx.origin,buggy_7.sol,51,52,-1
tx.origin,buggy_7.sol,60,61,-1
tx.origin,buggy_7.sol,69,70,-1
tx.origin,buggy_11.sol,134,132,2
tx.origin,buggy_11.sol,140,141,-1
tx.origin,buggy_11.sol,146,146,0
tx.origin,buggy_11.sol,32,34,-2
tx.origin,buggy_11.sol,38,39,-1
tx.origin,buggy_11.sol,44,44,0
tx.origin,buggy_11.sol,50,49,1
tx.origin,buggy_11.sol,56,54,2
tx.origin,buggy_11.sol,62,64,-2
tx.origin,buggy_11.sol,74,74,0
tx.origin,buggy_11.sol,80,81,-1
tx.origin,buggy_11.sol,86,86,0
tx.origin,buggy_11.sol,92,92,0
tx.origin,buggy_11.sol,122,123,-1
tx.origin,buggy_25.sol,36,37,-1
tx.origin,buggy_25.sol,12,13,-1
tx.origin,buggy_15.sol,32,33,-1
tx.origin,buggy_15.sol,38,38,0
tx.origin,buggy_15.sol,44,45,-1
tx.origin,buggy_15.sol,14,13,1
tx.origin,buggy_15.sol,80,80,0
tx.origin,buggy_15.sol,50,52,-2
tx.origin,buggy_15.sol,20,21,-1
tx.origin,buggy_15.sol,26,27,-1
tx.origin,buggy_46.sol,17,19,-2
tx.origin,buggy_16.sol,69,71,-2
tx.origin,buggy_16.sol,75,76,-1
tx.origin,buggy_16.sol,81,80,1
tx.origin,buggy_16.sol,51,52,-1
tx.origin,buggy_16.sol,87,85,2
tx.origin,buggy_16.sol,57,56,1
tx.origin,buggy_16.sol,63,61,2
tx.origin,buggy_41.sol,58,56,2
tx.origin,buggy_41.sol,38,37,1
tx.origin,buggy_41.sol,42,42,0
tx.origin,buggy_41.sol,18,17,1
tx.origin,buggy_41.sol,50,49,1
tx.origin,buggy_41.sol,22,21,1
tx.origin,buggy_41.sol,62,63,-1
tx.origin,buggy_41.sol,26,25,1
tx.origin,buggy_41.sol,30,31,-1
tx.origin,buggy_33.sol,42,41,1
tx.origin,buggy_33.sol,14,14,0
tx.origin,buggy_33.sol,18,20,-2
tx.origin,buggy_33.sol,30,29,1
tx.origin,buggy_20.sol,34,32,2
tx.origin,buggy_20.sol,37,38,-1
tx.origin,buggy_9.sol,65,64,1
tx.origin,buggy_9.sol,100,99,1
tx.origin,buggy_9.sol,80,78,2
tx.origin,buggy_9.sol,85,83,2
tx.origin,buggy_9.sol,55,55,0
tx.origin,buggy_9.sol,90,88,2
tx.origin,buggy_9.sol,95,94,1
tx.origin,buggy_14.sol,160,161,-1
tx.origin,buggy_14.sol,72,72,0
tx.origin,buggy_14.sol,105,107,-2
tx.origin,buggy_14.sol,171,173,-2
tx.origin,buggy_14.sol,83,85,-2
tx.origin,buggy_14.sol,116,116,0
tx.origin,buggy_14.sol,149,150,-1
tx.origin,buggy_14.sol,127,125,2
tx.origin,buggy_39.sol,40,40,0
tx.origin,buggy_39.sol,10,8,2
tx.origin,buggy_39.sol,15,14,1
tx.origin,buggy_39.sol,50,52,-2
tx.origin,buggy_39.sol,20,19,1
tx.origin,buggy_39.sol,25,23,2
tx.origin,buggy_39.sol,30,30,0
tx.origin,buggy_42.sol,10,8,2
tx.origin,buggy_42.sol,15,14,1
tx.origin,buggy_42.sol,20,20,0
tx.origin,buggy_42.sol,30,29,1
tx.origin,buggy_42.sol,40,41,-1
tx.origin,buggy_42.sol,80,82,-2
tx.origin,buggy_42.sol,85,86,-1
tx.origin,buggy_42.sol,90,91,-1
tx.origin,buggy_42.sol,100,98,2
tx.origin,buggy_42.sol,105,103,2
tx.origin,buggy_42.sol,110,108,2
tx.origin,buggy_42.sol,115,113,2
tx.origin,buggy_42.sol,120,119,1
tx.origin,buggy_31.sol,94,95,-1
tx.origin,buggy_2.sol,33,34,-1
tx.origin,buggy_2.sol,40,39,1
tx.origin,buggy_2.sol,12,13,-1
tx.origin,buggy_2.sol,47,47,0
tx.origin,buggy_2.sol,82,84,-2
tx.origin,buggy_2.sol,19,18,1
tx.origin,buggy_2.sol,54,52,2
tx.origin,buggy_2.sol,26,24,2
tx.origin,buggy_50.sol,40,41,-1
tx.origin,buggy_50.sol,47,47,0
tx.origin,buggy_50.sol,17,17,0
tx.origin,buggy_50.sol,51,53,-2
tx.origin,buggy_50.sol,25,23,2
tx.origin,buggy_50.sol,61,59,2
tx.origin,buggy_50.sol,31,29,2
tx.origin,buggy_10.sol,11,13,-2
tx.origin,buggy_10.sol,43,41,2
tx.origin,buggy_10.sol,24,23,1
tx.origin,buggy_10.sol,30,28,2
tx.origin,buggy_49.sol,9,8,1
tx.origin,buggy_49.sol,12,14,-2
tx.origin,buggy_49.sol,18,19,-1
tx.origin,buggy_49.sol,21,23,-2
tx.origin,buggy_49.sol,30,30,0
tx.origin,buggy_37.sol,28,30,-2
