bug_id,contract,line,bug_type,approach
67,buggy_12.sol,193,Re-entrancy,code snippet injection
68,buggy_12.sol,202,Re-entrancy,code snippet injection
69,buggy_12.sol,211,Re-entrancy,code snippet injection
70,buggy_12.sol,228,Re-entrancy,code snippet injection
71,buggy_12.sol,264,Re-entrancy,code snippet injection
72,buggy_12.sol,299,Re-entrancy,code snippet injection
73,buggy_12.sol,312,Re-entrancy,code snippet injection
74,buggy_12.sol,329,Re-entrancy,code snippet injection
75,buggy_12.sol,341,Re-entrancy,code snippet injection
76,buggy_12.sol,358,Re-entrancy,code snippet injection
77,buggy_12.sol,367,Re-entrancy,code snippet injection
78,buggy_12.sol,376,Re-entrancy,code snippet injection
79,buggy_12.sol,389,Re-entrancy,code snippet injection
80,buggy_12.sol,398,Re-entrancy,code snippet injection
81,buggy_12.sol,411,Re-entrancy,code snippet injection
82,buggy_12.sol,425,Re-entrancy,code snippet injection
83,buggy_12.sol,437,Re-entrancy,code snippet injection
84,buggy_12.sol,449,Re-entrancy,code snippet injection
85,buggy_12.sol,461,Re-entrancy,code snippet injection
86,buggy_12.sol,474,Re-entrancy,code snippet injection
87,buggy_12.sol,486,Re-entrancy,code snippet injection
88,buggy_12.sol,498,Re-entrancy,code snippet injection
89,buggy_12.sol,507,Re-entrancy,code snippet injection
90,buggy_12.sol,520,Re-entrancy,code snippet injection
91,buggy_12.sol,538,Re-entrancy,code snippet injection
92,buggy_12.sol,550,Re-entrancy,code snippet injection
93,buggy_12.sol,567,Re-entrancy,code snippet injection
94,buggy_13.sol,92,Re-entrancy,code snippet injection
95,buggy_13.sol,82,Re-entrancy,code snippet injection
96,buggy_13.sol,71,Re-entrancy,code snippet injection
97,buggy_13.sol,288,Re-entrancy,code snippet injection
98,buggy_13.sol,260,Re-entrancy,code snippet injection
99,buggy_13.sol,237,Re-entrancy,code snippet injection
100,buggy_13.sol,213,Re-entrancy,code snippet injection
101,buggy_13.sol,190,Re-entrancy,code snippet injection
102,buggy_13.sol,168,Re-entrancy,code snippet injection
103,buggy_13.sol,147,Re-entrancy,code snippet injection
104,buggy_13.sol,118,Re-entrancy,code snippet injection
105,buggy_13.sol,60,Re-entrancy,code snippet injection
106,buggy_13.sol,51,Re-entrancy,code snippet injection
107,buggy_13.sol,40,Re-entrancy,code snippet injection
108,buggy_13.sol,31,Re-entrancy,code snippet injection
109,buggy_13.sol,22,Re-entrancy,code snippet injection
110,buggy_13.sol,13,Re-entrancy,code snippet injection
111,buggy_14.sol,358,Re-entrancy,code snippet injection
112,buggy_14.sol,331,Re-entrancy,code snippet injection
113,buggy_14.sol,316,Re-entrancy,code snippet injection
114,buggy_14.sol,299,Re-entrancy,code snippet injection
115,buggy_14.sol,282,Re-entrancy,code snippet injection
116,buggy_14.sol,252,Re-entrancy,code snippet injection
117,buggy_14.sol,239,Re-entrancy,code snippet injection
118,buggy_14.sol,223,Re-entrancy,code snippet injection
119,buggy_14.sol,208,Re-entrancy,code snippet injection
120,buggy_14.sol,193,Re-entrancy,code snippet injection
121,buggy_14.sol,181,Re-entrancy,code snippet injection
122,buggy_14.sol,169,Re-entrancy,code snippet injection
123,buggy_14.sol,156,Re-entrancy,code snippet injection
124,buggy_14.sol,142,Re-entrancy,code snippet injection
125,buggy_14.sol,130,Re-entrancy,code snippet injection
126,buggy_14.sol,118,Re-entrancy,code snippet injection
127,buggy_14.sol,341,Re-entrancy,code snippet injection
128,buggy_14.sol,265,Re-entrancy,code snippet injection
129,buggy_14.sol,103,Re-entrancy,code snippet injection
130,buggy_14.sol,94,Re-entrancy,code snippet injection
131,buggy_14.sol,81,Re-entrancy,code snippet injection
132,buggy_14.sol,72,Re-entrancy,code snippet injection
133,buggy_15.sol,92,Re-entrancy,code snippet injection
134,buggy_15.sol,82,Re-entrancy,code snippet injection
135,buggy_15.sol,71,Re-entrancy,code snippet injection
136,buggy_15.sol,288,Re-entrancy,code snippet injection
137,buggy_15.sol,260,Re-entrancy,code snippet injection
138,buggy_15.sol,237,Re-entrancy,code snippet injection
139,buggy_15.sol,213,Re-entrancy,code snippet injection
140,buggy_15.sol,190,Re-entrancy,code snippet injection
141,buggy_15.sol,168,Re-entrancy,code snippet injection
142,buggy_15.sol,147,Re-entrancy,code snippet injection
143,buggy_15.sol,118,Re-entrancy,code snippet injection
144,buggy_15.sol,60,Re-entrancy,code snippet injection
145,buggy_15.sol,51,Re-entrancy,code snippet injection
146,buggy_15.sol,40,Re-entrancy,code snippet injection
147,buggy_15.sol,31,Re-entrancy,code snippet injection
148,buggy_15.sol,22,Re-entrancy,code snippet injection
149,buggy_15.sol,13,Re-entrancy,code snippet injection
150,buggy_16.sol,573,Re-entrancy,code snippet injection
151,buggy_16.sol,565,Re-entrancy,code snippet injection
152,buggy_16.sol,556,Re-entrancy,code snippet injection
153,buggy_16.sol,135,Re-entrancy,code snippet injection
154,buggy_16.sol,111,Re-entrancy,code snippet injection
155,buggy_16.sol,102,Re-entrancy,code snippet injection
156,buggy_16.sol,550,Re-entrancy,code snippet injection
157,buggy_16.sol,536,Re-entrancy,code snippet injection
158,buggy_16.sol,523,Re-entrancy,code snippet injection
159,buggy_16.sol,507,Re-entrancy,code snippet injection
160,buggy_16.sol,494,Re-entrancy,code snippet injection
161,buggy_16.sol,480,Re-entrancy,code snippet injection
162,buggy_16.sol,468,Re-entrancy,code snippet injection
163,buggy_16.sol,444,Re-entrancy,code snippet injection
164,buggy_16.sol,430,Re-entrancy,code snippet injection
165,buggy_16.sol,417,Re-entrancy,code snippet injection
166,buggy_16.sol,405,Re-entrancy,code snippet injection
167,buggy_16.sol,381,Re-entrancy,code snippet injection
168,buggy_16.sol,367,Re-entrancy,code snippet injection
169,buggy_16.sol,355,Re-entrancy,code snippet injection
170,buggy_16.sol,337,Re-entrancy,code snippet injection
171,buggy_16.sol,314,Re-entrancy,code snippet injection
172,buggy_16.sol,302,Re-entrancy,code snippet injection
173,buggy_16.sol,289,Re-entrancy,code snippet injection
174,buggy_16.sol,277,Re-entrancy,code snippet injection
175,buggy_16.sol,180,Re-entrancy,code snippet injection
176,buggy_16.sol,154,Re-entrancy,code snippet injection
177,buggy_16.sol,95,Re-entrancy,code snippet injection
178,buggy_16.sol,86,Re-entrancy,code snippet injection
179,buggy_16.sol,76,Re-entrancy,code snippet injection
180,buggy_16.sol,69,Re-entrancy,code snippet injection
181,buggy_16.sol,61,Re-entrancy,code snippet injection
182,buggy_16.sol,52,Re-entrancy,code snippet injection
183,buggy_16.sol,255,Re-entrancy,code snippet injection
184,buggy_16.sol,245,Re-entrancy,code snippet injection
185,buggy_16.sol,238,Re-entrancy,code snippet injection
186,buggy_16.sol,228,Re-entrancy,code snippet injection
187,buggy_16.sol,220,Re-entrancy,code snippet injection
188,buggy_16.sol,211,Re-entrancy,code snippet injection
189,buggy_16.sol,201,Re-entrancy,code snippet injection
190,buggy_16.sol,195,Re-entrancy,code snippet injection
191,buggy_16.sol,126,Re-entrancy,code snippet injection
192,buggy_17.sol,170,Re-entrancy,code snippet injection
193,buggy_17.sol,161,Re-entrancy,code snippet injection
194,buggy_17.sol,151,Re-entrancy,code snippet injection
195,buggy_17.sol,440,Re-entrancy,code snippet injection
196,buggy_17.sol,426,Re-entrancy,code snippet injection
197,buggy_17.sol,410,Re-entrancy,code snippet injection
198,buggy_17.sol,397,Re-entrancy,code snippet injection
199,buggy_17.sol,379,Re-entrancy,code snippet injection
200,buggy_17.sol,365,Re-entrancy,code snippet injection
201,buggy_17.sol,261,Re-entrancy,code snippet injection
202,buggy_17.sol,244,Re-entrancy,code snippet injection
203,buggy_17.sol,229,Re-entrancy,code snippet injection
204,buggy_17.sol,214,Re-entrancy,code snippet injection
205,buggy_17.sol,201,Re-entrancy,code snippet injection
206,buggy_17.sol,187,Re-entrancy,code snippet injection
207,buggy_17.sol,80,Re-entrancy,code snippet injection
208,buggy_17.sol,63,Re-entrancy,code snippet injection
209,buggy_17.sol,335,Re-entrancy,code snippet injection
210,buggy_17.sol,317,Re-entrancy,code snippet injection
211,buggy_17.sol,308,Re-entrancy,code snippet injection
212,buggy_17.sol,297,Re-entrancy,code snippet injection
213,buggy_17.sol,288,Re-entrancy,code snippet injection
214,buggy_17.sol,279,Re-entrancy,code snippet injection
215,buggy_17.sol,141,Re-entrancy,code snippet injection
216,buggy_17.sol,132,Re-entrancy,code snippet injection
217,buggy_17.sol,122,Re-entrancy,code snippet injection
218,buggy_17.sol,113,Re-entrancy,code snippet injection
219,buggy_17.sol,106,Re-entrancy,code snippet injection
220,buggy_17.sol,97,Re-entrancy,code snippet injection
221,buggy_17.sol,49,Re-entrancy,code snippet injection
222,buggy_18.sol,62,Re-entrancy,code snippet injection
223,buggy_18.sol,71,Re-entrancy,code snippet injection
224,buggy_18.sol,79,Re-entrancy,code snippet injection
225,buggy_18.sol,86,Re-entrancy,code snippet injection
226,buggy_18.sol,96,Re-entrancy,code snippet injection
227,buggy_18.sol,105,Re-entrancy,code snippet injection
228,buggy_18.sol,111,Re-entrancy,code snippet injection
229,buggy_18.sol,122,Re-entrancy,code snippet injection
230,buggy_18.sol,143,Re-entrancy,code snippet injection
231,buggy_18.sol,163,Re-entrancy,code snippet injection
232,buggy_18.sol,175,Re-entrancy,code snippet injection
233,buggy_18.sol,192,Re-entrancy,code snippet injection
234,buggy_18.sol,207,Re-entrancy,code snippet injection
235,buggy_18.sol,245,Re-entrancy,code snippet injection
236,buggy_18.sol,254,Re-entrancy,code snippet injection
237,buggy_18.sol,260,Re-entrancy,code snippet injection
238,buggy_18.sol,269,Re-entrancy,code snippet injection
239,buggy_18.sol,278,Re-entrancy,code snippet injection
240,buggy_18.sol,286,Re-entrancy,code snippet injection
241,buggy_18.sol,296,Re-entrancy,code snippet injection
242,buggy_18.sol,303,Re-entrancy,code snippet injection
243,buggy_18.sol,312,Re-entrancy,code snippet injection
244,buggy_18.sol,322,Re-entrancy,code snippet injection
245,buggy_18.sol,358,Re-entrancy,code snippet injection
246,buggy_18.sol,391,Re-entrancy,code snippet injection
247,buggy_18.sol,420,Re-entrancy,code snippet injection
248,buggy_18.sol,461,Re-entrancy,code snippet injection
249,buggy_18.sol,474,Re-entrancy,code snippet injection
250,buggy_18.sol,488,Re-entrancy,code snippet injection
251,buggy_18.sol,502,Re-entrancy,code snippet injection
252,buggy_18.sol,518,Re-entrancy,code snippet injection
253,buggy_18.sol,532,Re-entrancy,code snippet injection
254,buggy_18.sol,546,Re-entrancy,code snippet injection
255,buggy_18.sol,562,Re-entrancy,code snippet injection
256,buggy_18.sol,578,Re-entrancy,code snippet injection
257,buggy_18.sol,609,Re-entrancy,code snippet injection
258,buggy_18.sol,632,Re-entrancy,code snippet injection
259,buggy_18.sol,662,Re-entrancy,code snippet injection
260,buggy_18.sol,677,Re-entrancy,code snippet injection
261,buggy_18.sol,698,Re-entrancy,code snippet injection
262,buggy_18.sol,711,Re-entrancy,code snippet injection
263,buggy_18.sol,727,Re-entrancy,code snippet injection
264,buggy_19.sol,437,Re-entrancy,code snippet injection
265,buggy_19.sol,425,Re-entrancy,code snippet injection
266,buggy_19.sol,412,Re-entrancy,code snippet injection
267,buggy_19.sol,397,Re-entrancy,code snippet injection
268,buggy_19.sol,382,Re-entrancy,code snippet injection
269,buggy_19.sol,369,Re-entrancy,code snippet injection
270,buggy_19.sol,359,Re-entrancy,code snippet injection
271,buggy_19.sol,346,Re-entrancy,code snippet injection
272,buggy_19.sol,335,Re-entrancy,code snippet injection
273,buggy_19.sol,322,Re-entrancy,code snippet injection
274,buggy_19.sol,309,Re-entrancy,code snippet injection
275,buggy_19.sol,296,Re-entrancy,code snippet injection
276,buggy_19.sol,283,Re-entrancy,code snippet injection
277,buggy_19.sol,270,Re-entrancy,code snippet injection
278,buggy_19.sol,258,Re-entrancy,code snippet injection
279,buggy_19.sol,245,Re-entrancy,code snippet injection
280,buggy_19.sol,232,Re-entrancy,code snippet injection
281,buggy_19.sol,217,Re-entrancy,code snippet injection
282,buggy_19.sol,203,Re-entrancy,code snippet injection
283,buggy_19.sol,190,Re-entrancy,code snippet injection
284,buggy_19.sol,171,Re-entrancy,code snippet injection
285,buggy_19.sol,155,Re-entrancy,code snippet injection
286,buggy_19.sol,135,Re-entrancy,code snippet injection
287,buggy_19.sol,122,Re-entrancy,code snippet injection
288,buggy_19.sol,109,Re-entrancy,code snippet injection
289,buggy_19.sol,96,Re-entrancy,code snippet injection
290,buggy_19.sol,72,Re-entrancy,code snippet injection
291,buggy_19.sol,58,Re-entrancy,code snippet injection
292,buggy_2.sol,25,Re-entrancy,code snippet injection
293,buggy_2.sol,17,Re-entrancy,code snippet injection
294,buggy_2.sol,8,Re-entrancy,code snippet injection
295,buggy_2.sol,282,Re-entrancy,code snippet injection
296,buggy_2.sol,267,Re-entrancy,code snippet injection
297,buggy_2.sol,252,Re-entrancy,code snippet injection
298,buggy_2.sol,241,Re-entrancy,code snippet injection
299,buggy_2.sol,223,Re-entrancy,code snippet injection
300,buggy_2.sol,210,Re-entrancy,code snippet injection
301,buggy_2.sol,194,Re-entrancy,code snippet injection
302,buggy_2.sol,162,Re-entrancy,code snippet injection
303,buggy_2.sol,133,Re-entrancy,code snippet injection
304,buggy_2.sol,103,Re-entrancy,code snippet injection
305,buggy_2.sol,92,Re-entrancy,code snippet injection
306,buggy_2.sol,84,Re-entrancy,code snippet injection
307,buggy_2.sol,75,Re-entrancy,code snippet injection
308,buggy_2.sol,66,Re-entrancy,code snippet injection
309,buggy_2.sol,55,Re-entrancy,code snippet injection
310,buggy_2.sol,45,Re-entrancy,code snippet injection
311,buggy_2.sol,36,Re-entrancy,code snippet injection
312,buggy_20.sol,269,Re-entrancy,code snippet injection
313,buggy_20.sol,261,Re-entrancy,code snippet injection
314,buggy_20.sol,252,Re-entrancy,code snippet injection
315,buggy_20.sol,101,Re-entrancy,code snippet injection
316,buggy_20.sol,40,Re-entrancy,code snippet injection
317,buggy_20.sol,550,Re-entrancy,code snippet injection
318,buggy_20.sol,535,Re-entrancy,code snippet injection
319,buggy_20.sol,520,Re-entrancy,code snippet injection
320,buggy_20.sol,506,Re-entrancy,code snippet injection
321,buggy_20.sol,494,Re-entrancy,code snippet injection
322,buggy_20.sol,430,Re-entrancy,code snippet injection
323,buggy_20.sol,414,Re-entrancy,code snippet injection
324,buggy_20.sol,391,Re-entrancy,code snippet injection
325,buggy_20.sol,365,Re-entrancy,code snippet injection
326,buggy_20.sol,350,Re-entrancy,code snippet injection
327,buggy_20.sol,333,Re-entrancy,code snippet injection
328,buggy_20.sol,321,Re-entrancy,code snippet injection
329,buggy_20.sol,308,Re-entrancy,code snippet injection
330,buggy_20.sol,297,Re-entrancy,code snippet injection
331,buggy_20.sol,181,Re-entrancy,code snippet injection
332,buggy_20.sol,163,Re-entrancy,code snippet injection
333,buggy_20.sol,123,Re-entrancy,code snippet injection
334,buggy_20.sol,73,Re-entrancy,code snippet injection
335,buggy_20.sol,55,Re-entrancy,code snippet injection
336,buggy_20.sol,473,Re-entrancy,code snippet injection
337,buggy_20.sol,237,Re-entrancy,code snippet injection
338,buggy_20.sol,228,Re-entrancy,code snippet injection
339,buggy_20.sol,221,Re-entrancy,code snippet injection
340,buggy_20.sol,212,Re-entrancy,code snippet injection
341,buggy_20.sol,90,Re-entrancy,code snippet injection
342,buggy_20.sol,32,Re-entrancy,code snippet injection
343,buggy_21.sol,5,Re-entrancy,code snippet injection
344,buggy_21.sol,14,Re-entrancy,code snippet injection
345,buggy_21.sol,23,Re-entrancy,code snippet injection
346,buggy_21.sol,31,Re-entrancy,code snippet injection
347,buggy_21.sol,75,Re-entrancy,code snippet injection
348,buggy_21.sol,86,Re-entrancy,code snippet injection
349,buggy_21.sol,96,Re-entrancy,code snippet injection
350,buggy_21.sol,106,Re-entrancy,code snippet injection
351,buggy_21.sol,116,Re-entrancy,code snippet injection
352,buggy_21.sol,153,Re-entrancy,code snippet injection
353,buggy_21.sol,163,Re-entrancy,code snippet injection
354,buggy_21.sol,173,Re-entrancy,code snippet injection
355,buggy_21.sol,183,Re-entrancy,code snippet injection
356,buggy_21.sol,194,Re-entrancy,code snippet injection
357,buggy_21.sol,204,Re-entrancy,code snippet injection
358,buggy_21.sol,215,Re-entrancy,code snippet injection
359,buggy_21.sol,237,Re-entrancy,code snippet injection
360,buggy_21.sol,253,Re-entrancy,code snippet injection
361,buggy_21.sol,268,Re-entrancy,code snippet injection
362,buggy_21.sol,287,Re-entrancy,code snippet injection
363,buggy_21.sol,315,Re-entrancy,code snippet injection
364,buggy_21.sol,341,Re-entrancy,code snippet injection
365,buggy_21.sol,358,Re-entrancy,code snippet injection
366,buggy_21.sol,513,Re-entrancy,code snippet injection
367,buggy_21.sol,536,Re-entrancy,code snippet injection
368,buggy_21.sol,551,Re-entrancy,code snippet injection
369,buggy_21.sol,563,Re-entrancy,code snippet injection
370,buggy_22.sol,352,Re-entrancy,code snippet injection
371,buggy_22.sol,344,Re-entrancy,code snippet injection
372,buggy_22.sol,335,Re-entrancy,code snippet injection
373,buggy_22.sol,324,Re-entrancy,code snippet injection
374,buggy_22.sol,313,Re-entrancy,code snippet injection
375,buggy_22.sol,304,Re-entrancy,code snippet injection
376,buggy_22.sol,57,Re-entrancy,code snippet injection
377,buggy_22.sol,48,Re-entrancy,code snippet injection
378,buggy_22.sol,664,Re-entrancy,code snippet injection
379,buggy_22.sol,602,Re-entrancy,code snippet injection
380,buggy_22.sol,567,Re-entrancy,code snippet injection
381,buggy_22.sol,533,Re-entrancy,code snippet injection
382,buggy_22.sol,503,Re-entrancy,code snippet injection
383,buggy_22.sol,458,Re-entrancy,code snippet injection
384,buggy_22.sol,426,Re-entrancy,code snippet injection
385,buggy_22.sol,402,Re-entrancy,code snippet injection
386,buggy_22.sol,152,Re-entrancy,code snippet injection
387,buggy_22.sol,141,Re-entrancy,code snippet injection
388,buggy_22.sol,131,Re-entrancy,code snippet injection
389,buggy_22.sol,122,Re-entrancy,code snippet injection
390,buggy_22.sol,112,Re-entrancy,code snippet injection
391,buggy_22.sol,103,Re-entrancy,code snippet injection
392,buggy_22.sol,94,Re-entrancy,code snippet injection
393,buggy_22.sol,81,Re-entrancy,code snippet injection
394,buggy_22.sol,69,Re-entrancy,code snippet injection
395,buggy_22.sol,36,Re-entrancy,code snippet injection
396,buggy_22.sol,19,Re-entrancy,code snippet injection
397,buggy_22.sol,296,Re-entrancy,code snippet injection
398,buggy_22.sol,286,Re-entrancy,code snippet injection
399,buggy_22.sol,276,Re-entrancy,code snippet injection
400,buggy_22.sol,269,Re-entrancy,code snippet injection
401,buggy_22.sol,261,Re-entrancy,code snippet injection
402,buggy_22.sol,252,Re-entrancy,code snippet injection
403,buggy_22.sol,243,Re-entrancy,code snippet injection
404,buggy_22.sol,234,Re-entrancy,code snippet injection
405,buggy_22.sol,9,Re-entrancy,code snippet injection
406,buggy_23.sol,575,Re-entrancy,code snippet injection
407,buggy_23.sol,555,Re-entrancy,code snippet injection
408,buggy_23.sol,540,Re-entrancy,code snippet injection
409,buggy_23.sol,523,Re-entrancy,code snippet injection
410,buggy_23.sol,506,Re-entrancy,code snippet injection
411,buggy_23.sol,450,Re-entrancy,code snippet injection
412,buggy_23.sol,436,Re-entrancy,code snippet injection
413,buggy_23.sol,409,Re-entrancy,code snippet injection
414,buggy_23.sol,390,Re-entrancy,code snippet injection
415,buggy_23.sol,368,Re-entrancy,code snippet injection
416,buggy_23.sol,346,Re-entrancy,code snippet injection
417,buggy_23.sol,323,Re-entrancy,code snippet injection
418,buggy_23.sol,301,Re-entrancy,code snippet injection
419,buggy_23.sol,278,Re-entrancy,code snippet injection
420,buggy_23.sol,256,Re-entrancy,code snippet injection
421,buggy_23.sol,234,Re-entrancy,code snippet injection
422,buggy_23.sol,212,Re-entrancy,code snippet injection
423,buggy_23.sol,192,Re-entrancy,code snippet injection
424,buggy_23.sol,173,Re-entrancy,code snippet injection
425,buggy_23.sol,156,Re-entrancy,code snippet injection
426,buggy_23.sol,490,Re-entrancy,code snippet injection
427,buggy_23.sol,481,Re-entrancy,code snippet injection
428,buggy_23.sol,472,Re-entrancy,code snippet injection
429,buggy_23.sol,140,Re-entrancy,code snippet injection
430,buggy_23.sol,130,Re-entrancy,code snippet injection
431,buggy_23.sol,120,Re-entrancy,code snippet injection
432,buggy_24.sol,1066,Re-entrancy,code snippet injection
433,buggy_24.sol,1048,Re-entrancy,code snippet injection
434,buggy_24.sol,1003,Re-entrancy,code snippet injection
435,buggy_24.sol,986,Re-entrancy,code snippet injection
436,buggy_24.sol,925,Re-entrancy,code snippet injection
437,buggy_24.sol,896,Re-entrancy,code snippet injection
438,buggy_24.sol,870,Re-entrancy,code snippet injection
439,buggy_24.sol,841,Re-entrancy,code snippet injection
440,buggy_24.sol,830,Re-entrancy,code snippet injection
441,buggy_24.sol,804,Re-entrancy,code snippet injection
442,buggy_24.sol,786,Re-entrancy,code snippet injection
443,buggy_24.sol,769,Re-entrancy,code snippet injection
444,buggy_24.sol,752,Re-entrancy,code snippet injection
445,buggy_24.sol,721,Re-entrancy,code snippet injection
446,buggy_24.sol,693,Re-entrancy,code snippet injection
447,buggy_24.sol,626,Re-entrancy,code snippet injection
448,buggy_24.sol,609,Re-entrancy,code snippet injection
449,buggy_24.sol,590,Re-entrancy,code snippet injection
450,buggy_24.sol,572,Re-entrancy,code snippet injection
451,buggy_24.sol,550,Re-entrancy,code snippet injection
452,buggy_24.sol,509,Re-entrancy,code snippet injection
453,buggy_24.sol,473,Re-entrancy,code snippet injection
454,buggy_24.sol,452,Re-entrancy,code snippet injection
455,buggy_24.sol,440,Re-entrancy,code snippet injection
456,buggy_24.sol,422,Re-entrancy,code snippet injection
457,buggy_24.sol,390,Re-entrancy,code snippet injection
458,buggy_24.sol,372,Re-entrancy,code snippet injection
459,buggy_24.sol,347,Re-entrancy,code snippet injection
460,buggy_24.sol,338,Re-entrancy,code snippet injection
461,buggy_24.sol,328,Re-entrancy,code snippet injection
462,buggy_24.sol,321,Re-entrancy,code snippet injection
463,buggy_24.sol,313,Re-entrancy,code snippet injection
464,buggy_24.sol,303,Re-entrancy,code snippet injection
465,buggy_24.sol,294,Re-entrancy,code snippet injection
466,buggy_24.sol,285,Re-entrancy,code snippet injection
467,buggy_24.sol,279,Re-entrancy,code snippet injection
468,buggy_24.sol,269,Re-entrancy,code snippet injection
469,buggy_24.sol,261,Re-entrancy,code snippet injection
470,buggy_24.sol,252,Re-entrancy,code snippet injection
471,buggy_24.sol,243,Re-entrancy,code snippet injection
472,buggy_24.sol,237,Re-entrancy,code snippet injection
473,buggy_24.sol,228,Re-entrancy,code snippet injection
474,buggy_25.sol,126,Re-entrancy,code snippet injection
475,buggy_25.sol,118,Re-entrancy,code snippet injection
476,buggy_25.sol,109,Re-entrancy,code snippet injection
477,buggy_25.sol,98,Re-entrancy,code snippet injection
478,buggy_25.sol,87,Re-entrancy,code snippet injection
479,buggy_25.sol,78,Re-entrancy,code snippet injection
480,buggy_25.sol,72,Re-entrancy,code snippet injection
481,buggy_25.sol,361,Re-entrancy,code snippet injection
482,buggy_25.sol,348,Re-entrancy,code snippet injection
483,buggy_25.sol,335,Re-entrancy,code snippet injection
484,buggy_25.sol,322,Re-entrancy,code snippet injection
485,buggy_25.sol,309,Re-entrancy,code snippet injection
486,buggy_25.sol,290,Re-entrancy,code snippet injection
487,buggy_25.sol,248,Re-entrancy,code snippet injection
488,buggy_25.sol,201,Re-entrancy,code snippet injection
489,buggy_25.sol,177,Re-entrancy,code snippet injection
490,buggy_25.sol,156,Re-entrancy,code snippet injection
491,buggy_25.sol,141,Re-entrancy,code snippet injection
492,buggy_25.sol,60,Re-entrancy,code snippet injection
493,buggy_25.sol,42,Re-entrancy,code snippet injection
494,buggy_25.sol,13,Re-entrancy,code snippet injection
495,buggy_26.sol,63,Re-entrancy,code snippet injection
496,buggy_26.sol,72,Re-entrancy,code snippet injection
497,buggy_26.sol,81,Re-entrancy,code snippet injection
498,buggy_26.sol,91,Re-entrancy,code snippet injection
